รหัสหน่วยงาน,ชื่อหน่วยงาน,ตัวย่อหน่วย,ตัวย่อสังกัด
0515233,ร.ล.กระบี่,มว.เรือที่ 1,กตอ.กร.
0515234,ร.ล.ประจวบคีรีขันธ์,มว.เรือที่ 1,กตอ.กร.
051524,หมวดเรือที่ 2,มว.เรือที่ 2,กตอ.กร.
0515241,ร.ล.ชลบุรี,มว.เรือที่ 2,กตอ.กร.
0515242,ร.ล.สงขลา,มว.เรือที่ 2,กตอ.กร.
0515243,ร.ล.ภูเก็ต,มว.เรือที่ 2,กตอ.กร.
051525,หมวดเรือที่ 3,มว.เรือที่ 3,กตอ.กร.
0515251,ร.ล.สัตหีบ,มว.เรือที่ 3,กตอ.กร.
0515252,ร.ล.คลองใหญ่,มว.เรือที่ 3,กตอ.กร.
0515253,ร.ล.ตากใบ,มว.เรือที่ 3,กตอ.กร.
0515254,ร.ล.กันตัง,มว.เรือที่ 3,กตอ.กร.
0515255,ร.ล.เทพา,มว.เรือที่ 3,กตอ.กร.
0515256,ร.ล.ท้ายเหมือง,มว.เรือที่ 3,กตอ.กร.
0515257,ร.ล.หัวหิน,มว.เรือที่ 3,กตอ.กร.
0515258,ร.ล.แกลง,มว.เรือที่ 3,กตอ.กร.
0515259,ร.ล.ศรีราชา,มว.เรือที่ 3,กตอ.กร.
05152510,ร.ล.แหลมสิงห์,มว.เรือที่ 3,กตอ.กร.
05153,กองเรือฟริเกตที่ 1,กฟก.1,กร.
051531,กองบัญชาการ,บก.,กฟก.1 กร.
051532,กองร้อยกองบัญชาการ,ร้อย บก.,กฟก.1 กร.
051533,หมวดเรือที่ 1,มว.เรือที่ 1,กฟก.1 กร.
0515331,ร.ล.มกุฎราชกุมาร,มว.เรือที่ 1,กฟก.1 กร.
0515332,ร.ล.ตาปี,มว.เรือที่ 1,กฟก.1 กร.
0515333,ร.ล.คีรีรัฐ,มว.เรือที่ 1,กฟก.1 กร.
0515334,ร.ล.รัตนโกสินทร์,มว.เรือที่ 1,กฟก.1 กร.
0515335,ร.ล.สุโขทัย,มว.เรือที่ 1,กฟก.1 กร.
051534,หมวดเรือที่ 2,มว.เรือที่ 2,กฟก.1 กร.
0515341,ร.ล.ปิ่นเกล้า,มว.เรือที่ 2,กฟก.1 กร.
0515342,ร.ล.ภูมิพลอดุลยเดช,มว.เรือที่ 2,กฟก.1 กร.
051535,หมวดเรือที่ 3,มว.เรือที่ 3,กฟก.1 กร.
0515351,ร.ล.คำรณสินธุ,มว.เรือที่ 3,กฟก.1 กร.
0515352,ร.ล.ทยานชล,มว.เรือที่ 3,กฟก.1 กร.
